COMPANY,PLAN,PREMIUM_CRORES,PREMIUM,NOP,LIVES_COVERED,MONTH,YEAR,DATE,ATS
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,88.11,881120369.7,15423,0,MAY,2019,5/1/2019,57130
ADITYA BIRLA SUN LIFE,Group Single Premium,75.49,754926651.9,3,208467,MAY,2019,5/1/2019,251642217
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,0.28,2817980.28,0,0,MAY,2019,5/1/2019,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,5.6,55975668.81,69,107577,MAY,2019,5/1/2019,811241
ADITYA BIRLA SUN LIFE,Individual Single Premium,13.39,133864150.6,314,0,SEP,2018,9/1/2018,426318
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,133.67,1336673586,23681,0,SEP,2018,9/1/2018,56444
ADITYA BIRLA SUN LIFE,Group Single Premium,383.52,3835186320,13,97417,SEP,2018,9/1/2018,295014332
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,2.48,24814211.32,1,137,SEP,2018,9/1/2018,24814211
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,8.22,82174078.17,59,212489,SEP,2018,9/1/2018,1392780
ADITYA BIRLA SUN LIFE,Individual Single Premium,9.73,97341511.53,217,0,JUN,2020,6/1/2020,448578
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,159.84,1598413455,26746,0,JUN,2020,6/1/2020,59762
ADITYA BIRLA SUN LIFE,Group Single Premium,324.58,3245843741,7,15818,JUN,2020,6/1/2020,463691962
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,0.91,9090546.41,0,0,JUN,2020,6/1/2020,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,8.97,89661797.64,54,61442,JUN,2020,6/1/2020,1660403
ADITYA BIRLA SUN LIFE,Individual Single Premium,1,9952128.03,77,NULL,JUL,2010,7/1/2010,129248
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,142.72,1427229530,99590,NULL,JUL,2010,7/1/2010,14331
ADITYA BIRLA SUN LIFE,Group Single Premium,0.48,4792190.68,0,145,JUL,2010,7/1/2010,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,34.35,343502862.3,13,12163,JUL,2010,7/1/2010,26423297
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.88,38783689.58,99,NULL,NOV,2011,11/1/2011,391754
